 # target background plasma written by write_bgplasma in module_bgplasma.f90
  ntargets
          124
    idx     id             ne             Te             Ti          vpara          Epara
     69     70    0.79692E+18    0.10000E+01    0.10000E+01   -0.97872E+04    0.00000E+00
     70     71    0.12121E+19    0.11222E+01    0.11222E+01   -0.10368E+05    0.00000E+00
     71     72    0.17466E+19    0.12445E+01    0.12445E+01   -0.10918E+05    0.00000E+00
     72     73    0.22702E+19    0.13283E+01    0.13283E+01   -0.11280E+05    0.00000E+00
     73     74    0.27589E+19    0.14113E+01    0.14113E+01   -0.11627E+05    0.00000E+00
     74     75    0.32099E+19    0.14920E+01    0.14920E+01   -0.11955E+05    0.00000E+00
     75     76    0.39469E+19    0.18457E+01    0.18457E+01   -0.13297E+05    0.00000E+00
     76     77    0.48646E+19    0.22068E+01    0.22068E+01   -0.14539E+05    0.00000E+00
     77     78    0.61875E+19    0.25366E+01    0.25366E+01   -0.15588E+05    0.00000E+00
     78     79    0.78500E+19    0.28283E+01    0.28283E+01   -0.16460E+05    0.00000E+00
     79     80    0.11325E+20    0.37530E+01    0.37530E+01   -0.18960E+05    0.00000E+00
     80     81    0.18070E+20    0.57090E+01    0.57090E+01   -0.23385E+05    0.00000E+00
     81     82    0.20570E+20    0.10410E+02    0.10410E+02   -0.31578E+05    0.00000E+00
     82     83    0.23880E+20    0.14030E+02    0.14030E+02   -0.36660E+05    0.00000E+00
     83     84    0.25241E+20    0.15103E+02    0.15103E+02   -0.38036E+05   -0.52653E+02
     84     85    0.27254E+20    0.15486E+02    0.15486E+02   -0.38515E+05   -0.49432E+02
     85     86    0.30315E+20    0.16410E+02    0.16410E+02   -0.39647E+05   -0.13965E+03
     86     87    0.31960E+20    0.18490E+02    0.18490E+02   -0.42085E+05   -0.66593E+02
     87     88    0.33621E+20    0.19412E+02    0.19412E+02   -0.43122E+05   -0.88380E+02
     88     89    0.37384E+20    0.17781E+02    0.17781E+02   -0.41270E+05   -0.14318E+03
     89     90    0.35756E+20    0.15879E+02    0.15879E+02   -0.39001E+05   -0.13955E+03
     90     91    0.33822E+20    0.13721E+02    0.13721E+02   -0.36254E+05   -0.12122E+03
     91     92    0.34588E+20    0.10646E+02    0.10646E+02   -0.31934E+05   -0.91800E+02
     92     93    0.38881E+20    0.77021E+01    0.77021E+01   -0.27162E+05   -0.69507E+02
     93     94    0.44430E+20    0.54370E+01    0.54370E+01   -0.22821E+05   -0.61980E+02
     94     95    0.49034E+20    0.44640E+01    0.44640E+01   -0.20679E+05   -0.67622E+02
     95     96    0.53830E+20    0.36655E+01    0.36655E+01   -0.18738E+05   -0.64651E+02
     96     97    0.54481E+20    0.31993E+01    0.31993E+01   -0.17506E+05   -0.58348E+02
     97     98    0.51830E+20    0.30963E+01    0.30963E+01   -0.17222E+05   -0.68646E+02
     98     99    0.47468E+20    0.30239E+01    0.30239E+01   -0.17019E+05   -0.57899E+02
     99    100    0.42870E+20    0.29492E+01    0.29492E+01   -0.16808E+05   -0.60335E+02
    100    101    0.38040E+20    0.28727E+01    0.28727E+01   -0.16588E+05   -0.56767E+02
    101    102    0.33113E+20    0.27946E+01    0.27946E+01   -0.16361E+05   -0.57966E+02
    102    103    0.29756E+20    0.27153E+01    0.27153E+01   -0.16127E+05   -0.53055E+02
    103    104    0.26268E+20    0.26351E+01    0.26351E+01   -0.15887E+05   -0.51004E+02
    104    105    0.22650E+20    0.25542E+01    0.25542E+01   -0.15642E+05   -0.47817E+02
    105    106    0.19589E+20    0.24731E+01    0.24731E+01   -0.15392E+05   -0.45517E+02
    106    107    0.17830E+20    0.23921E+01    0.23921E+01   -0.15137E+05   -0.43869E+02
    107    108    0.16024E+20    0.23114E+01    0.23114E+01   -0.14880E+05   -0.42089E+02
